author_id,title,content,publication_date,url,category_id,sourse_id,sourse_type
Redacción UH,Más de 350 mil familias fueron víctimas de ARGOZ,"Tras el allanamiento en la Corporación ARGOZ S.A. de C.V. por estafar a salvadoreños durante más de 20 años con la venta de terrenos ilegales, la ministra de Vivienda, Michelle Sol, informó que fueron más de 350 mil familias las que se vieron afectadas al ser víctimas de esta compañía. «Argoz era una estructura mafiosa, con una forma de operar diseñada en complicidad, incluso del Estado, políticos corruptos, funcionarios corruptos y una ausencia total de justicia para más de 350,000 familias», detalló Sol a través de su cuenta de Twitter. Estas familias tendrán justicia gracias al trabajo articulado de las entidades de Gobierno, el cual inició tras la indicación del Presidente Nayib Bukele a la ministra de hacer lo necesario para garantizar justicia a las víctimas. A través de esta articulación, aprobaron las reformas al código penal, en las que se incluía un nuevo delito, en el que se establecen condenas de 8 a 12 años de cárcel para aquellas personas que vendan lotes sin regularización. https://twitter.com/misol140/status/1732438975392989619?t=w625YytK3JostlVPUXQ-_Q&s=19 ",2023-12-06 21:12:00,https://ultimahora.sv/mas-de-350-mil-familias-fueron-victimas-de-argoz/,NacionalesportadaPortada,Última Hora SV,Web Page
Redacción UH,Efectúan allanamiento de la Corporación ARGOZ,"La Corporación ARGOZ fue allanada el pasado martes 5 de diciembre, en un operativo coordinado entre la Fiscalía General de la República (FGR) y el Ministerio de Vivienda, como parte de las diligencias para recabar pruebas en contra de esta empresa que se dedicaba a vender lotificaciones de forma ilegal. Hasta la fecha, las investigaciones han determinado que se contabilizan denuncias por 116 lotificaciones realizadas por ARGOZ que presentan irregularidades, las cuales fueron utilizadas ilegalmente para estafar a sus víctimas con ayuda de sociedades vinculadas a la empresa. Sumado a esto, al mismo tiempo de los allanamientos, se llevó a cabo la captura de Leticia Farfán de Gómez y Rodrigo Javier Gómez Farfán, quienes son los dueños de dicha empresa, a quienes se les imputarán 49 cargos relacionados a los delitos de estafa, comercialización irregular de inmuebles y agrupaciones ilícitas. Durante el operativo las autoridades incautaron en las ostentosas viviendas de los imputados, un total de $37,919.73 dólares en efectivo, además de cinco vehículos de lujo.  #ÚltimaHora I El allanamiento a la Corporación ARGOZ S.A de C.V. ha dejado como resultado las capturas de Leticia Farfán y Rodrigo Javier Gómez Farfán, líderes de esta estafa realizada a muchas familias salvadoreñas.Los imputados vivían en lujosas residencias en zonas exclusiva… pic.twitter.com/ANBqP4wAAq— Fiscalía General de la República El Salvador (@FGR_SV) 6 de diciembre de 2023 ",2023-12-06 18:13:00,https://ultimahora.sv/efectuan-allanamiento-de-la-corporacion-argoz/,NacionalesportadaPortada,Última Hora SV,Web Page
Redacción UH,Encuesta UCA: Nuevas Ideas obtiene el mayor porcentaje de intención de voto,"El Instituto Universitario de Opinión Pública (Iudop) de la Universidad Centroamericana José Simeón Cañas (UCA) publicó este día los resultados de su más reciente encuesta política, revelando que el partido Nuevas Ideas obtuvo el mayor porcentaje de intención de voto por parte de los salvadoreños para las elecciones 2024.  Para las elecciones presidenciales, el 61.7 % de los encuestados respondió que votaría por la fórmula del partido cyan: Nayib Bukele y Félix Ulloa. Por otro lado, para los comicios de diputados, Nuevas Ideas obtuvo el 81.2 % de intención de voto.  Cabe destacar que estos porcentajes son extremadamente altos al compararlos con los demás partidos. En la pregunta «¿Por cuál partido político votaría para la elección de presidente?», las otras instituciones políticas obtuvieron los siguientes resultados:  FMLN, 2.6 %ARENA, 1.5 %GANA, 0.9 %Vamos, 0.7 %Nuestro Tiempo, 0.3 %FPS, 0.2 %PCN, 0.1 %PAIS, 0.1 %  #ClasePolítica | El 61.7 % de la población votaría por @nayibbukele para presidente, mientras que los candidatos de oposición no alcanzan ni un 3 %. pic.twitter.com/JeEQpJ0FiQ— Última Hora (@ultimahsv) 6 de diciembre de 2023 ",2023-12-06 10:40:00,https://ultimahora.sv/encuesta-uca-nuevas-ideas-obtiene-el-mayor-porcentaje-de-intencion-de-voto/,Clase políticaLo último,Última Hora SV,Web Page
Redacción UH,Bonos de El Salvador incrementan su valor tras mejora en calificación crediticia,"Los bonos salvadoreños registraron un incremento en su valor de cotización de hasta un 2 % en el mercado internacional, después de que la agencia S&P Global Ratings mejorara la calificación soberana de El Salvador subiendo la nota de ‘CCC+’ a ‘B-’. La nueva calificación crediticia de El Salvador, significó que agencias especializadas en finanzas como Bloomberg catalogaran a la nación entre los mejores mercados emergentes. Tras dos operaciones de recompra que llevaron al cumplimiento de las obligaciones soberanas, el mercado internacional volvió sus ojos a El Salvador debido a la mejora en la perspectiva de la economía. En este sentido, según la Bolsa de Valores de El Salvador (BVES) el precio de los títulos con vencimiento en 2025 aumentó un 1.9 %, mostrando una recuperación del 48 %; en el caso de los títulos con vencimiento en 2027, registran un alza de un 1.2 %, que significaría una recuperación del 93 %; por otra parte,  los bonos de 2023, mostraron un crecimiento del 1.9 %, con una recuperación que equivale al 89 %. https://forbescentroamerica.com/2023/12/05/calificacion-de-sp-empuja-los-bonos-salvadorenos-a-su-mejor-precio-en-2023 ",2023-12-06 08:58:00,https://ultimahora.sv/bonos-de-el-salvador-incrementan-su-valor-tras-mejora-en-calificacion-crediticia/,EconomíaNacionalesportadaPortada,Última Hora SV,Web Page
Redacción UH,UCA intentó influenciar los resultados de su última encuesta,"Medios nacionales reportan que la Universidad Centroamericana José Simeón Cañas (UCA), a través de su Instituto Universitario de Opinión Pública (Iudop), intentó influenciar las respuestas de los salvadoreños durante su última encuesta, relacionada al tema de la reelección presidencial.  Según una fuente del centro de estudios superiores, a los encuestados se les pasó el siguiente folleto, antes de realizarles el cuestionario:  Los resultados de esta encuesta, “La población salvadoreña opina sobre el proceso electoral de 2024”, se darán a conocer este día a las 9:00 p.m. ",2023-12-06 07:57:00,https://ultimahora.sv/uca-intento-influenciar-los-resultados-de-su-ultima-encuesta/,Clase políticaLo último,Última Hora SV,Web Page
Redacción UH,"BINAES destaca como una de las bibliotecas más completas en Centroamérica, según Forbes","Desde su inauguración hace tres semanas, la Biblioteca Nacional de El Salvador (BINAES) se ha convertido en un referente a nivel regional, por tener una infraestructura moderno y ser una de las más completas, así lo destacó la revista Forbes Centroamérica. «Con una inversión de 50 millones de dólares donada por China, la Biblioteca Nacional de El Salvador (BINAES), inaugurada el pasado 14 de noviembre, es una de las más modernas y completas de la región centroamericana, además resalta como un hito para el pueblo salvadoreño», resaltó el reconocido medio de comunicación. Además, la revista expuso que la BINAES es la primera biblioteca nacional del mundo en brindar sus servicios las 24 horas del día, los 7 días a la semana, asimismo, detalló que cuenta con un espacio de 24,000 metros cuadrados, y siete niveles totalmente equipados y adecuados a las necesidades de los usuarios. https://twitter.com/Forbes_CA/status/1731010346280706290?t=qqRqgjOjDG_W59fwDSO7wQ&s=19 ",2023-12-05 17:38:00,https://ultimahora.sv/binaes-destaca-como-una-de-las-bibliotecas-mas-completas-en-centroamerica-segun-forbes/,NacionalesportadaPortada,Última Hora SV,Web Page
Redacción UH,Candidato del FMLN: la canasta básica de los salvadoreños lleva whisky,"El candidato presidencial del FMLN, Manuel «El Chino» Flores dijo hoy, durante una entrevista televisiva, que el whisky es también parte de la canasta básica salvadoreña, por lo que debe tomarse en cuenta en los gastos. «Nosotros debemos hacer siempre un análisis serio, verdad, porque tú sabes que la canasta básica no solo son 4, son incluso, sabes que hasta en la canasta básica está el whisky por ejemplo, ahí está en la canasta básica el whisky y otros temas de consumo», aseguró el candidato. Flores hizo esas declaraciones con el objetivo de ganar simpatía con los salvadoreños, sin embargo, el efecto fue adverso y se agenció burlas y críticas ya que su planteamiento no está basado en la realidad salvadoreña.  #ClasePolítica | El ""Chino"" Flores aseguró que el whisky es parte de la canasta básica de El Salvador.Video: @AnonimoSV503. pic.twitter.com/UHPiqmPkiS— Última Hora (@ultimahsv) 5 de diciembre de 2023 ",2023-12-05 14:29:00,https://ultimahora.sv/candidato-del-fmln-la-canasta-basica-de-los-salvadorenos-lleva-whisky/,ClasePolíticaLo Último,Última Hora SV,Web Page
Redacción UH,«Chino» Flores: El Whisky es parte de la canasta básica salvadoreña,"El candidato presidencial del FMLN, Manuel «El Chino» Flores afirmó este martes, en una entrevista de un canal local, que el whisky es parte de la canasta básica de El Salvador. «Nosotros debemos hacer siempre un análisis serio, verdad porque tú sabes que la canasta básica no solo son 4, son incluso, sabes que hasta en la canasta básica está el whisky por ejemplo, ahí está en la canasta básica el whisky y otros temas de consumo», afirmó el candidato.  Las palabras de Flores surgen en su afán de ganar adeptos de cara a las elecciones de 2024, en las que el FMLN, prácticamente desaparecía del mapa político, según  la más reciente encuesta de CID-Gallup, no obtendrían más del 2 % de votos.   #ClasePolítica | El ""Chino"" Flores aseguró que el whisky es parte de la canasta básica de El Salvador.Video: @AnonimoSV503. pic.twitter.com/UHPiqmPkiS— Última Hora (@ultimahsv) 5 de diciembre de 2023 ",2023-12-05 11:30:00,https://ultimahora.sv/chino-flores-el-whisky-es-parte-de-la-canasta-basica-salvadorena/,Clase políticaLo Último,Última Hora SV,Web Page
Redacción UH,"El Salvador, país con mejor desempeño de turismo en Las Américas","El Salvador es el país del continente americano con el mejor desempeño de turismo en el periodo de enero a septiembre de 2023, según un informe de la Organización Mundial del Turismo  de las Naciones Unidas (UNWTO, por sus siglas en inglés).  «Las acciones que han resultado en que El Salvador sea el país con mejor desempeño en turismo en Las Américas. Este es también el resultado del modelo de seguridad de nuestro Presidente; al día de hoy, acumulamos 501 días sin homicidios», expresó la embajadora de El Salvador, en Estados Unidos, Milena Mayorga.  El Salvador experimenta un incremento de turismo como nunca antes, gracias a la seguridad que se vive, solo vía aérea, el incremento de vuelos es de 20 % previo a la temporada navideña, a la fecha ya se registran más de 37,000.  President @nayibbukele had the vision to appoint an incredible woman as Minister of Tourism @MorenaValdezSV, she coordinates with the entire government cabinet the actions that have resulted in El Salvador being the best performing country in Tourism in The Americas This is… pic.twitter.com/IpqmTILe2q— Milena Mayorga (@MilenaMayorga) 5 de diciembre de 2023 ",2023-12-05 10:26:00,https://ultimahora.sv/el-salvador-pais-con-mejor-desempeno-de-turismo-en-las-americas/,Lo Últimoportada,Última Hora SV,Web Page
Redacción UH,Soyapango cumple un año sin operatividad de pandillas,"Un año se ha cumplido, desde el que el pasado 3 de diciembre de 2022, el Gobierno del Presidente de la República, Nayib Bukele, ordenara instalar un cerco de seguridad en el municipio de Soyapango, para desarticular los remanentes de pandillas, que operaban de manera sigilosa debido a que ya se ejecutaba el Plan Control Territorial.  «A partir de este momento, el municipio de Soyapango está totalmente cercado. 8, 500 soldados y 1500 agentes han rodeado la ciudad, mientras los equipos de extracción de la Policía y el Ejército se encargan de sacar uno a uno todos los pandilleros que se encuentran ahí», expresó en ese entonces, el Presidente Bukele.  Gracias a esa decisión, la realidad actual de Soyapango ha cambiado como nunca antes, los lugareños sin testigos de ambiente de seguridad que ahora se percibe, dejando en el pasado que los barrios y colonias representaban un riesgo para la vida de los jóvenes, hoy en día, pueden circular por donde quiera en completa libertad.   Esta es la portada de #DiarioElSalvador de este lunes, 4 de diciembre de 2023. #DiarioESConoce el otro lado de la historia: https://t.co/z5QRyFs3oQ pic.twitter.com/lfdVjkEV5U— Diario El Salvador (@elsalvador) 4 de diciembre de 2023 ",2023-12-05 08:49:00,https://ultimahora.sv/soyapango-cumple-un-ano-sin-operatividad-de-pandillas/,Lo ÚltimoSeguridad ciudadana,Última Hora SV,Web Page
